Trigram,Red,Green,Blue,Glyph,Letter
13,254,0,0,☉,E
10,254,60,0,♈,O
7,254,97,0,♊,J
22,254,194,0,♃,V
3,254,254,0,△,H
14,194,254,0,♄,R
4,97,254,0,♐,P
21,60,254,0,♒,M
18,0,254,0,▽̅,Y
24,0,254,60,♏̅,N
19,0,254,97,♑,Z
23,0,254,194,⊕,D
26,0,254,254,☽,D
20,0,194,254,♏,B
5,0,97,254,Ⅲ,A
17,0,60,254,♀,K
6,0,0,254,▽,X
25,60,0,254,♂,U
8,97,0,254,♓,W
15,194,0,254,♍,S
9,254,0,254,△̅,T
12,254,0,194,♌,F
11,254,0,97,♎,G
16,254,0,60,☿,Q
1,60,60,60,┼,L
2,97,97,97,—,C
0,194,194,194,⁝,I
