Trigram,Red,Green,Blue
13,254,0,0
10,254,60,0
7,254,97,0
22,254,194,0
3,254,254,0
14,194,254,0
4,97,254,0
21,60,254,0
18,0,254,0
24,0,254,60
19,0,254,97
23,0,254,194
26,0,254,254
20,0,194,254
5,0,97,254
17,0,60,254
6,0,0,254
25,60,0,254
8,97,0,254
15,194,0,254
9,254,0,254
12,254,0,194
11,254,0,97
16,254,0,60
1,60,60,60
2,97,97,97
0,194,194,194
