year,date,mode,delta_days,effective_delta,kin,tone,sign,sign_row_color_group
2020,2020-06-21,gregorian,161,161,162,6,2,1
2020,2020-06-21,leap_intercalary,161,160,161,5,1,0
2020,2020-06-21,leap_double,161,162,163,7,3,2
2021,2021-06-21,gregorian,526,526,7,7,7,2
2021,2021-06-21,leap_intercalary,526,525,6,6,6,1
2021,2021-06-21,leap_double,526,527,8,8,8,3
2022,2022-06-21,gregorian,891,891,112,8,12,3
2022,2022-06-21,leap_intercalary,891,890,111,7,11,2
2022,2022-06-21,leap_double,891,892,113,9,13,0
2023,2023-06-21,gregorian,1256,1256,217,9,17,0
2023,2023-06-21,leap_intercalary,1256,1255,216,8,16,3
2023,2023-06-21,leap_double,1256,1257,218,10,18,1
2024,2024-06-21,gregorian,1622,1622,63,11,3,2
2024,2024-06-21,leap_intercalary,1622,1620,61,9,1,0
2024,2024-06-21,leap_double,1622,1624,65,13,5,0
2025,2025-06-21,gregorian,1987,1987,168,12,8,3
2025,2025-06-21,leap_intercalary,1987,1985,166,10,6,1
2025,2025-06-21,leap_double,1987,1989,170,1,10,1
2026,2026-06-21,gregorian,2352,2352,13,13,13,0
2026,2026-06-21,leap_intercalary,2352,2350,11,11,11,2
2026,2026-06-21,leap_double,2352,2354,15,2,15,2
2027,2027-06-21,gregorian,2717,2717,118,1,18,1
2027,2027-06-21,leap_intercalary,2717,2715,116,12,16,3
2027,2027-06-21,leap_double,2717,2719,120,3,20,3
2028,2028-06-21,gregorian,3083,3083,224,3,4,3
2028,2028-06-21,leap_intercalary,3083,3080,221,13,1,0
2028,2028-06-21,leap_double,3083,3086,227,6,7,2
2029,2029-06-21,gregorian,3448,3448,69,4,9,0
2029,2029-06-21,leap_intercalary,3448,3445,66,1,6,1
2029,2029-06-21,leap_double,3448,3451,72,7,12,3
2030,2030-06-21,gregorian,3813,3813,174,5,14,1
2030,2030-06-21,leap_intercalary,3813,3810,171,2,11,2
2030,2030-06-21,leap_double,3813,3816,177,8,17,0
2031,2031-06-21,gregorian,4178,4178,19,6,19,2
2031,2031-06-21,leap_intercalary,4178,4175,16,3,16,3
2031,2031-06-21,leap_double,4178,4181,22,9,2,1
2032,2032-06-21,gregorian,4544,4544,125,8,5,0
2032,2032-06-21,leap_intercalary,4544,4540,121,4,1,0
2032,2032-06-21,leap_double,4544,4548,129,12,9,0
2033,2033-06-21,gregorian,4909,4909,230,9,10,1
2033,2033-06-21,leap_intercalary,4909,4905,226,5,6,1
2033,2033-06-21,leap_double,4909,4913,234,13,14,1
2034,2034-06-21,gregorian,5274,5274,75,10,15,2
2034,2034-06-21,leap_intercalary,5274,5270,71,6,11,2
2034,2034-06-21,leap_double,5274,5278,79,1,19,2
2035,2035-06-21,gregorian,5639,5639,180,11,20,3
2035,2035-06-21,leap_intercalary,5639,5635,176,7,16,3
2035,2035-06-21,leap_double,5639,5643,184,2,4,3
2036,2036-06-21,gregorian,6005,6005,26,13,6,1
2036,2036-06-21,leap_intercalary,6005,6000,21,8,1,0
2036,2036-06-21,leap_double,6005,6010,31,5,11,2
2037,2037-06-21,gregorian,6370,6370,131,1,11,2
2037,2037-06-21,leap_intercalary,6370,6365,126,9,6,1
2037,2037-06-21,leap_double,6370,6375,136,6,16,3
2038,2038-06-21,gregorian,6735,6735,236,2,16,3
2038,2038-06-21,leap_intercalary,6735,6730,231,10,11,2
2038,2038-06-21,leap_double,6735,6740,241,7,1,0
2039,2039-06-21,gregorian,7100,7100,81,3,1,0
2039,2039-06-21,leap_intercalary,7100,7095,76,11,16,3
2039,2039-06-21,leap_double,7100,7105,86,8,6,1
2040,2040-06-21,gregorian,7466,7466,187,5,7,2
2040,2040-06-21,leap_intercalary,7466,7460,181,12,1,0
2040,2040-06-21,leap_double,7466,7472,193,11,13,0
2041,2041-06-21,gregorian,7831,7831,32,6,12,3
2041,2041-06-21,leap_intercalary,7831,7825,26,13,6,1
2041,2041-06-21,leap_double,7831,7837,38,12,18,1
2042,2042-06-21,gregorian,8196,8196,137,7,17,0
2042,2042-06-21,leap_intercalary,8196,8190,131,1,11,2
2042,2042-06-21,leap_double,8196,8202,143,13,3,2
2043,2043-06-21,gregorian,8561,8561,242,8,2,1
2043,2043-06-21,leap_intercalary,8561,8555,236,2,16,3
2043,2043-06-21,leap_double,8561,8567,248,1,8,3
2044,2044-06-21,gregorian,8927,8927,88,10,8,3
2044,2044-06-21,leap_intercalary,8927,8920,81,3,1,0
2044,2044-06-21,leap_double,8927,8934,95,4,15,2
2045,2045-06-21,gregorian,9292,9292,193,11,13,0
2045,2045-06-21,leap_intercalary,9292,9285,186,4,6,1
2045,2045-06-21,leap_double,9292,9299,200,5,20,3
2046,2046-06-21,gregorian,9657,9657,38,12,18,1
2046,2046-06-21,leap_intercalary,9657,9650,31,5,11,2
2046,2046-06-21,leap_double,9657,9664,45,6,5,0
2047,2047-06-21,gregorian,10022,10022,143,13,3,2
2047,2047-06-21,leap_intercalary,10022,10015,136,6,16,3
2047,2047-06-21,leap_double,10022,10029,150,7,10,1
2048,2048-06-21,gregorian,10388,10388,249,2,9,0
2048,2048-06-21,leap_intercalary,10388,10380,241,7,1,0
2048,2048-06-21,leap_double,10388,10396,257,10,17,0
2049,2049-06-21,gregorian,10753,10753,94,3,14,1
2049,2049-06-21,leap_intercalary,10753,10745,86,8,6,1
2049,2049-06-21,leap_double,10753,10761,102,11,2,1
2050,2050-06-21,gregorian,11118,11118,199,4,19,2
2050,2050-06-21,leap_intercalary,11118,11110,191,9,11,2
2050,2050-06-21,leap_double,11118,11126,207,12,7,2
2051,2051-06-21,gregorian,11483,11483,44,5,4,3
2051,2051-06-21,leap_intercalary,11483,11475,36,10,16,3
2051,2051-06-21,leap_double,11483,11491,52,13,12,3
2052,2052-06-21,gregorian,11849,11849,150,7,10,1
2052,2052-06-21,leap_intercalary,11849,11840,141,11,1,0
2052,2052-06-21,leap_double,11849,11858,159,3,19,2
2053,2053-06-21,gregorian,12214,12214,255,8,15,2
2053,2053-06-21,leap_intercalary,12214,12205,246,12,6,1
2053,2053-06-21,leap_double,12214,12223,4,4,4,3
2054,2054-06-21,gregorian,12579,12579,100,9,20,3
2054,2054-06-21,leap_intercalary,12579,12570,91,13,11,2
2054,2054-06-21,leap_double,12579,12588,109,5,9,0
2055,2055-06-21,gregorian,12944,12944,205,10,5,0
2055,2055-06-21,leap_intercalary,12944,12935,196,1,16,3
2055,2055-06-21,leap_double,12944,12953,214,6,14,1
2056,2056-06-21,gregorian,13310,13310,51,12,11,2
2056,2056-06-21,leap_intercalary,13310,13300,41,2,1,0
2056,2056-06-21,leap_double,13310,13320,61,9,1,0
2057,2057-06-21,gregorian,13675,13675,156,13,16,3
2057,2057-06-21,leap_intercalary,13675,13665,146,3,6,1
2057,2057-06-21,leap_double,13675,13685,166,10,6,1
2058,2058-06-21,gregorian,14040,14040,1,1,1,0
2058,2058-06-21,leap_intercalary,14040,14030,251,4,11,2
2058,2058-06-21,leap_double,14040,14050,11,11,11,2
2059,2059-06-21,gregorian,14405,14405,106,2,6,1
2059,2059-06-21,leap_intercalary,14405,14395,96,5,16,3
2059,2059-06-21,leap_double,14405,14415,116,12,16,3
2060,2060-06-21,gregorian,14771,14771,212,4,12,3
2060,2060-06-21,leap_intercalary,14771,14760,201,6,1,0
2060,2060-06-21,leap_double,14771,14782,223,2,3,2
2061,2061-06-21,gregorian,15136,15136,57,5,17,0
2061,2061-06-21,leap_intercalary,15136,15125,46,7,6,1
2061,2061-06-21,leap_double,15136,15147,68,3,8,3
2062,2062-06-21,gregorian,15501,15501,162,6,2,1
2062,2062-06-21,leap_intercalary,15501,15490,151,8,11,2
2062,2062-06-21,leap_double,15501,15512,173,4,13,0
2063,2063-06-21,gregorian,15866,15866,7,7,7,2
2063,2063-06-21,leap_intercalary,15866,15855,256,9,16,3
2063,2063-06-21,leap_double,15866,15877,18,5,18,1
2064,2064-06-21,gregorian,16232,16232,113,9,13,0
2064,2064-06-21,leap_intercalary,16232,16220,101,10,1,0
2064,2064-06-21,leap_double,16232,16244,125,8,5,0
2065,2065-06-21,gregorian,16597,16597,218,10,18,1
2065,2065-06-21,leap_intercalary,16597,16585,206,11,6,1
2065,2065-06-21,leap_double,16597,16609,230,9,10,1
2066,2066-06-21,gregorian,16962,16962,63,11,3,2
2066,2066-06-21,leap_intercalary,16962,16950,51,12,11,2
2066,2066-06-21,leap_double,16962,16974,75,10,15,2
2067,2067-06-21,gregorian,17327,17327,168,12,8,3
2067,2067-06-21,leap_intercalary,17327,17315,156,13,16,3
2067,2067-06-21,leap_double,17327,17339,180,11,20,3
2068,2068-06-21,gregorian,17693,17693,14,1,14,1
2068,2068-06-21,leap_intercalary,17693,17680,1,1,1,0
2068,2068-06-21,leap_double,17693,17706,27,1,7,2
2069,2069-06-21,gregorian,18058,18058,119,2,19,2
2069,2069-06-21,leap_intercalary,18058,18045,106,2,6,1
2069,2069-06-21,leap_double,18058,18071,132,2,12,3
2070,2070-06-21,gregorian,18423,18423,224,3,4,3
2070,2070-06-21,leap_intercalary,18423,18410,211,3,11,2
2070,2070-06-21,leap_double,18423,18436,237,3,17,0
2071,2071-06-21,gregorian,18788,18788,69,4,9,0
2071,2071-06-21,leap_intercalary,18788,18775,56,4,16,3
2071,2071-06-21,leap_double,18788,18801,82,4,2,1
2072,2072-06-21,gregorian,19154,19154,175,6,15,2
2072,2072-06-21,leap_intercalary,19154,19140,161,5,1,0
2072,2072-06-21,leap_double,19154,19168,189,7,9,0
2073,2073-06-21,gregorian,19519,19519,20,7,20,3
2073,2073-06-21,leap_intercalary,19519,19505,6,6,6,1
2073,2073-06-21,leap_double,19519,19533,34,8,14,1
2074,2074-06-21,gregorian,19884,19884,125,8,5,0
2074,2074-06-21,leap_intercalary,19884,19870,111,7,11,2
2074,2074-06-21,leap_double,19884,19898,139,9,19,2
2075,2075-06-21,gregorian,20249,20249,230,9,10,1
2075,2075-06-21,leap_intercalary,20249,20235,216,8,16,3
2075,2075-06-21,leap_double,20249,20263,244,10,4,3
2076,2076-06-21,gregorian,20615,20615,76,11,16,3
2076,2076-06-21,leap_intercalary,20615,20600,61,9,1,0
2076,2076-06-21,leap_double,20615,20630,91,13,11,2
2077,2077-06-21,gregorian,20980,20980,181,12,1,0
2077,2077-06-21,leap_intercalary,20980,20965,166,10,6,1
2077,2077-06-21,leap_double,20980,20995,196,1,16,3
2078,2078-06-21,gregorian,21345,21345,26,13,6,1
2078,2078-06-21,leap_intercalary,21345,21330,11,11,11,2
2078,2078-06-21,leap_double,21345,21360,41,2,1,0
2079,2079-06-21,gregorian,21710,21710,131,1,11,2
2079,2079-06-21,leap_intercalary,21710,21695,116,12,16,3
2079,2079-06-21,leap_double,21710,21725,146,3,6,1
2080,2080-06-21,gregorian,22076,22076,237,3,17,0
2080,2080-06-21,leap_intercalary,22076,22060,221,13,1,0
2080,2080-06-21,leap_double,22076,22092,253,6,13,0
2081,2081-06-21,gregorian,22441,22441,82,4,2,1
2081,2081-06-21,leap_intercalary,22441,22425,66,1,6,1
2081,2081-06-21,leap_double,22441,22457,98,7,18,1
2082,2082-06-21,gregorian,22806,22806,187,5,7,2
2082,2082-06-21,leap_intercalary,22806,22790,171,2,11,2
2082,2082-06-21,leap_double,22806,22822,203,8,3,2
2083,2083-06-21,gregorian,23171,23171,32,6,12,3
2083,2083-06-21,leap_intercalary,23171,23155,16,3,16,3
2083,2083-06-21,leap_double,23171,23187,48,9,8,3
2084,2084-06-21,gregorian,23537,23537,138,8,18,1
2084,2084-06-21,leap_intercalary,23537,23520,121,4,1,0
2084,2084-06-21,leap_double,23537,23554,155,12,15,2
2085,2085-06-21,gregorian,23902,23902,243,9,3,2
2085,2085-06-21,leap_intercalary,23902,23885,226,5,6,1
2085,2085-06-21,leap_double,23902,23919,260,13,20,3
2086,2086-06-21,gregorian,24267,24267,88,10,8,3
2086,2086-06-21,leap_intercalary,24267,24250,71,6,11,2
2086,2086-06-21,leap_double,24267,24284,105,1,5,0
2087,2087-06-21,gregorian,24632,24632,193,11,13,0
2087,2087-06-21,leap_intercalary,24632,24615,176,7,16,3
2087,2087-06-21,leap_double,24632,24649,210,2,10,1
2088,2088-06-21,gregorian,24998,24998,39,13,19,2
2088,2088-06-21,leap_intercalary,24998,24980,21,8,1,0
2088,2088-06-21,leap_double,24998,25016,57,5,17,0
2089,2089-06-21,gregorian,25363,25363,144,1,4,3
2089,2089-06-21,leap_intercalary,25363,25345,126,9,6,1
2089,2089-06-21,leap_double,25363,25381,162,6,2,1
2090,2090-06-21,gregorian,25728,25728,249,2,9,0
2090,2090-06-21,leap_intercalary,25728,25710,231,10,11,2
2090,2090-06-21,leap_double,25728,25746,7,7,7,2
2091,2091-06-21,gregorian,26093,26093,94,3,14,1
2091,2091-06-21,leap_intercalary,26093,26075,76,11,16,3
