year,date,mode,delta_days,effective_delta,kin,tone,sign,sign_row_color_group
2091,2091-06-21,leap_double,26093,26111,112,8,12,3
2092,2092-06-21,gregorian,26459,26459,200,5,20,3
2092,2092-06-21,leap_intercalary,26459,26440,181,12,1,0
2092,2092-06-21,leap_double,26459,26478,219,11,19,2
2093,2093-06-21,gregorian,26824,26824,45,6,5,0
2093,2093-06-21,leap_intercalary,26824,26805,26,13,6,1
2093,2093-06-21,leap_double,26824,26843,64,12,4,3
2094,2094-06-21,gregorian,27189,27189,150,7,10,1
2094,2094-06-21,leap_intercalary,27189,27170,131,1,11,2
2094,2094-06-21,leap_double,27189,27208,169,13,9,0
2095,2095-06-21,gregorian,27554,27554,255,8,15,2
2095,2095-06-21,leap_intercalary,27554,27535,236,2,16,3
2095,2095-06-21,leap_double,27554,27573,14,1,14,1
2096,2096-06-21,gregorian,27920,27920,101,10,1,0
2096,2096-06-21,leap_intercalary,27920,27900,81,3,1,0
2096,2096-06-21,leap_double,27920,27940,121,4,1,0
2097,2097-06-21,gregorian,28285,28285,206,11,6,1
2097,2097-06-21,leap_intercalary,28285,28265,186,4,6,1
2097,2097-06-21,leap_double,28285,28305,226,5,6,1
2098,2098-06-21,gregorian,28650,28650,51,12,11,2
2098,2098-06-21,leap_intercalary,28650,28630,31,5,11,2
2098,2098-06-21,leap_double,28650,28670,71,6,11,2
2099,2099-06-21,gregorian,29015,29015,156,13,16,3
2099,2099-06-21,leap_intercalary,29015,28995,136,6,16,3
2099,2099-06-21,leap_double,29015,29035,176,7,16,3
2100,2100-06-21,gregorian,29380,29380,1,1,1,0
2100,2100-06-21,leap_intercalary,29380,29360,241,7,1,0
2100,2100-06-21,leap_double,29380,29400,21,8,1,0

# Key jumps (same MM-DD)
 4y jump: 2020-06-21 -> 2024-06-21 (civil delta=1461)
  - gregorian       kin= 63 (Δ161)  sign= 3 (Δ 1)  tone=11 (Δ 5)
  - leap_intercalary kin= 61 (Δ160)  sign= 1 (Δ 0)  tone= 9 (Δ 4)
  - leap_double     kin= 65 (Δ162)  sign= 5 (Δ 2)  tone=13 (Δ 6)
 8y jump: 2020-06-21 -> 2028-06-21 (civil delta=2922)
  - gregorian       kin=224 (Δ 62)  sign= 4 (Δ 2)  tone= 3 (Δ10)
  - leap_intercalary kin=221 (Δ 60)  sign= 1 (Δ 0)  tone=13 (Δ 8)
  - leap_double     kin=227 (Δ 64)  sign= 7 (Δ 4)  tone= 6 (Δ12)
16y jump: 2020-06-21 -> 2036-06-21 (civil delta=5844)
  - gregorian       kin= 26 (Δ124)  sign= 6 (Δ 4)  tone=13 (Δ 7)
  - leap_intercalary kin= 21 (Δ120)  sign= 1 (Δ 0)  tone= 8 (Δ 3)
  - leap_double     kin= 31 (Δ128)  sign=11 (Δ 8)  tone= 5 (Δ11)

# Subcycle period hints (years)
gregorian:
  period(kin)   = (none <=64y)
  period(sign)  = (none <=64y)
  period(tone)  = (none <=64y)
  period(group) = (none <=64y)
leap_intercalary:
  period(kin)   = 52
  period(sign)  = 4
  period(tone)  = 13
  period(group) = 4
leap_double:
  period(kin)   = (none <=64y)
  period(sign)  = (none <=64y)
  period(tone)  = (none <=64y)
  period(group) = (none <=64y)
