year,date,mode,delta_days,effective_delta,kin,tone,sign,sign_row_color_group
2020,2020-09-22,gregorian,254,254,255,8,15,2
2020,2020-09-22,leap_intercalary,254,253,254,7,14,1
2020,2020-09-22,leap_double,254,255,256,9,16,3
2021,2021-09-22,gregorian,619,619,100,9,20,3
2021,2021-09-22,leap_intercalary,619,618,99,8,19,2
2021,2021-09-22,leap_double,619,620,101,10,1,0
2022,2022-09-22,gregorian,984,984,205,10,5,0
2022,2022-09-22,leap_intercalary,984,983,204,9,4,3
2022,2022-09-22,leap_double,984,985,206,11,6,1
2023,2023-09-22,gregorian,1349,1349,50,11,10,1
2023,2023-09-22,leap_intercalary,1349,1348,49,10,9,0
2023,2023-09-22,leap_double,1349,1350,51,12,11,2
2024,2024-09-22,gregorian,1715,1715,156,13,16,3
2024,2024-09-22,leap_intercalary,1715,1713,154,11,14,1
2024,2024-09-22,leap_double,1715,1717,158,2,18,1
2025,2025-09-22,gregorian,2080,2080,1,1,1,0
2025,2025-09-22,leap_intercalary,2080,2078,259,12,19,2
2025,2025-09-22,leap_double,2080,2082,3,3,3,2
2026,2026-09-22,gregorian,2445,2445,106,2,6,1
2026,2026-09-22,leap_intercalary,2445,2443,104,13,4,3
2026,2026-09-22,leap_double,2445,2447,108,4,8,3
2027,2027-09-22,gregorian,2810,2810,211,3,11,2
2027,2027-09-22,leap_intercalary,2810,2808,209,1,9,0
2027,2027-09-22,leap_double,2810,2812,213,5,13,0
2028,2028-09-22,gregorian,3176,3176,57,5,17,0
2028,2028-09-22,leap_intercalary,3176,3173,54,2,14,1
2028,2028-09-22,leap_double,3176,3179,60,8,20,3
2029,2029-09-22,gregorian,3541,3541,162,6,2,1
2029,2029-09-22,leap_intercalary,3541,3538,159,3,19,2
2029,2029-09-22,leap_double,3541,3544,165,9,5,0
2030,2030-09-22,gregorian,3906,3906,7,7,7,2
2030,2030-09-22,leap_intercalary,3906,3903,4,4,4,3
2030,2030-09-22,leap_double,3906,3909,10,10,10,1
2031,2031-09-22,gregorian,4271,4271,112,8,12,3
2031,2031-09-22,leap_intercalary,4271,4268,109,5,9,0
2031,2031-09-22,leap_double,4271,4274,115,11,15,2
2032,2032-09-22,gregorian,4637,4637,218,10,18,1
2032,2032-09-22,leap_intercalary,4637,4633,214,6,14,1
2032,2032-09-22,leap_double,4637,4641,222,1,2,1
2033,2033-09-22,gregorian,5002,5002,63,11,3,2
2033,2033-09-22,leap_intercalary,5002,4998,59,7,19,2
2033,2033-09-22,leap_double,5002,5006,67,2,7,2
2034,2034-09-22,gregorian,5367,5367,168,12,8,3
2034,2034-09-22,leap_intercalary,5367,5363,164,8,4,3
2034,2034-09-22,leap_double,5367,5371,172,3,12,3
2035,2035-09-22,gregorian,5732,5732,13,13,13,0
2035,2035-09-22,leap_intercalary,5732,5728,9,9,9,0
2035,2035-09-22,leap_double,5732,5736,17,4,17,0
2036,2036-09-22,gregorian,6098,6098,119,2,19,2
2036,2036-09-22,leap_intercalary,6098,6093,114,10,14,1
2036,2036-09-22,leap_double,6098,6103,124,7,4,3
2037,2037-09-22,gregorian,6463,6463,224,3,4,3
2037,2037-09-22,leap_intercalary,6463,6458,219,11,19,2
2037,2037-09-22,leap_double,6463,6468,229,8,9,0
2038,2038-09-22,gregorian,6828,6828,69,4,9,0
2038,2038-09-22,leap_intercalary,6828,6823,64,12,4,3
2038,2038-09-22,leap_double,6828,6833,74,9,14,1
2039,2039-09-22,gregorian,7193,7193,174,5,14,1
2039,2039-09-22,leap_intercalary,7193,7188,169,13,9,0
2039,2039-09-22,leap_double,7193,7198,179,10,19,2
2040,2040-09-22,gregorian,7559,7559,20,7,20,3
2040,2040-09-22,leap_intercalary,7559,7553,14,1,14,1
2040,2040-09-22,leap_double,7559,7565,26,13,6,1
2041,2041-09-22,gregorian,7924,7924,125,8,5,0
2041,2041-09-22,leap_intercalary,7924,7918,119,2,19,2
2041,2041-09-22,leap_double,7924,7930,131,1,11,2
2042,2042-09-22,gregorian,8289,8289,230,9,10,1
2042,2042-09-22,leap_intercalary,8289,8283,224,3,4,3
2042,2042-09-22,leap_double,8289,8295,236,2,16,3
2043,2043-09-22,gregorian,8654,8654,75,10,15,2
2043,2043-09-22,leap_intercalary,8654,8648,69,4,9,0
2043,2043-09-22,leap_double,8654,8660,81,3,1,0
2044,2044-09-22,gregorian,9020,9020,181,12,1,0
2044,2044-09-22,leap_intercalary,9020,9013,174,5,14,1
2044,2044-09-22,leap_double,9020,9027,188,6,8,3
2045,2045-09-22,gregorian,9385,9385,26,13,6,1
2045,2045-09-22,leap_intercalary,9385,9378,19,6,19,2
2045,2045-09-22,leap_double,9385,9392,33,7,13,0
2046,2046-09-22,gregorian,9750,9750,131,1,11,2
2046,2046-09-22,leap_intercalary,9750,9743,124,7,4,3
2046,2046-09-22,leap_double,9750,9757,138,8,18,1
2047,2047-09-22,gregorian,10115,10115,236,2,16,3
2047,2047-09-22,leap_intercalary,10115,10108,229,8,9,0
2047,2047-09-22,leap_double,10115,10122,243,9,3,2
2048,2048-09-22,gregorian,10481,10481,82,4,2,1
2048,2048-09-22,leap_intercalary,10481,10473,74,9,14,1
2048,2048-09-22,leap_double,10481,10489,90,12,10,1
2049,2049-09-22,gregorian,10846,10846,187,5,7,2
2049,2049-09-22,leap_intercalary,10846,10838,179,10,19,2
2049,2049-09-22,leap_double,10846,10854,195,13,15,2
2050,2050-09-22,gregorian,11211,11211,32,6,12,3
2050,2050-09-22,leap_intercalary,11211,11203,24,11,4,3
2050,2050-09-22,leap_double,11211,11219,40,1,20,3
2051,2051-09-22,gregorian,11576,11576,137,7,17,0
2051,2051-09-22,leap_intercalary,11576,11568,129,12,9,0
2051,2051-09-22,leap_double,11576,11584,145,2,5,0
2052,2052-09-22,gregorian,11942,11942,243,9,3,2
2052,2052-09-22,leap_intercalary,11942,11933,234,13,14,1
2052,2052-09-22,leap_double,11942,11951,252,5,12,3
2053,2053-09-22,gregorian,12307,12307,88,10,8,3
2053,2053-09-22,leap_intercalary,12307,12298,79,1,19,2
2053,2053-09-22,leap_double,12307,12316,97,6,17,0
2054,2054-09-22,gregorian,12672,12672,193,11,13,0
2054,2054-09-22,leap_intercalary,12672,12663,184,2,4,3
2054,2054-09-22,leap_double,12672,12681,202,7,2,1
2055,2055-09-22,gregorian,13037,13037,38,12,18,1
2055,2055-09-22,leap_intercalary,13037,13028,29,3,9,0
2055,2055-09-22,leap_double,13037,13046,47,8,7,2
2056,2056-09-22,gregorian,13403,13403,144,1,4,3
2056,2056-09-22,leap_intercalary,13403,13393,134,4,14,1
2056,2056-09-22,leap_double,13403,13413,154,11,14,1
2057,2057-09-22,gregorian,13768,13768,249,2,9,0
2057,2057-09-22,leap_intercalary,13768,13758,239,5,19,2
2057,2057-09-22,leap_double,13768,13778,259,12,19,2
2058,2058-09-22,gregorian,14133,14133,94,3,14,1
2058,2058-09-22,leap_intercalary,14133,14123,84,6,4,3
2058,2058-09-22,leap_double,14133,14143,104,13,4,3
2059,2059-09-22,gregorian,14498,14498,199,4,19,2
2059,2059-09-22,leap_intercalary,14498,14488,189,7,9,0
2059,2059-09-22,leap_double,14498,14508,209,1,9,0
2060,2060-09-22,gregorian,14864,14864,45,6,5,0
2060,2060-09-22,leap_intercalary,14864,14853,34,8,14,1
2060,2060-09-22,leap_double,14864,14875,56,4,16,3
2061,2061-09-22,gregorian,15229,15229,150,7,10,1
2061,2061-09-22,leap_intercalary,15229,15218,139,9,19,2
2061,2061-09-22,leap_double,15229,15240,161,5,1,0
2062,2062-09-22,gregorian,15594,15594,255,8,15,2
2062,2062-09-22,leap_intercalary,15594,15583,244,10,4,3
2062,2062-09-22,leap_double,15594,15605,6,6,6,1
2063,2063-09-22,gregorian,15959,15959,100,9,20,3
2063,2063-09-22,leap_intercalary,15959,15948,89,11,9,0
2063,2063-09-22,leap_double,15959,15970,111,7,11,2
2064,2064-09-22,gregorian,16325,16325,206,11,6,1
2064,2064-09-22,leap_intercalary,16325,16313,194,12,14,1
2064,2064-09-22,leap_double,16325,16337,218,10,18,1
2065,2065-09-22,gregorian,16690,16690,51,12,11,2
2065,2065-09-22,leap_intercalary,16690,16678,39,13,19,2
2065,2065-09-22,leap_double,16690,16702,63,11,3,2
2066,2066-09-22,gregorian,17055,17055,156,13,16,3
2066,2066-09-22,leap_intercalary,17055,17043,144,1,4,3
2066,2066-09-22,leap_double,17055,17067,168,12,8,3
2067,2067-09-22,gregorian,17420,17420,1,1,1,0
2067,2067-09-22,leap_intercalary,17420,17408,249,2,9,0
2067,2067-09-22,leap_double,17420,17432,13,13,13,0
2068,2068-09-22,gregorian,17786,17786,107,3,7,2
2068,2068-09-22,leap_intercalary,17786,17773,94,3,14,1
2068,2068-09-22,leap_double,17786,17799,120,3,20,3
2069,2069-09-22,gregorian,18151,18151,212,4,12,3
2069,2069-09-22,leap_intercalary,18151,18138,199,4,19,2
2069,2069-09-22,leap_double,18151,18164,225,4,5,0
2070,2070-09-22,gregorian,18516,18516,57,5,17,0
2070,2070-09-22,leap_intercalary,18516,18503,44,5,4,3
2070,2070-09-22,leap_double,18516,18529,70,5,10,1
2071,2071-09-22,gregorian,18881,18881,162,6,2,1
2071,2071-09-22,leap_intercalary,18881,18868,149,6,9,0
2071,2071-09-22,leap_double,18881,18894,175,6,15,2
2072,2072-09-22,gregorian,19247,19247,8,8,8,3
2072,2072-09-22,leap_intercalary,19247,19233,254,7,14,1
2072,2072-09-22,leap_double,19247,19261,22,9,2,1
2073,2073-09-22,gregorian,19612,19612,113,9,13,0
2073,2073-09-22,leap_intercalary,19612,19598,99,8,19,2
2073,2073-09-22,leap_double,19612,19626,127,10,7,2
2074,2074-09-22,gregorian,19977,19977,218,10,18,1
2074,2074-09-22,leap_intercalary,19977,19963,204,9,4,3
2074,2074-09-22,leap_double,19977,19991,232,11,12,3
2075,2075-09-22,gregorian,20342,20342,63,11,3,2
2075,2075-09-22,leap_intercalary,20342,20328,49,10,9,0
2075,2075-09-22,leap_double,20342,20356,77,12,17,0
2076,2076-09-22,gregorian,20708,20708,169,13,9,0
2076,2076-09-22,leap_intercalary,20708,20693,154,11,14,1
2076,2076-09-22,leap_double,20708,20723,184,2,4,3
2077,2077-09-22,gregorian,21073,21073,14,1,14,1
2077,2077-09-22,leap_intercalary,21073,21058,259,12,19,2
2077,2077-09-22,leap_double,21073,21088,29,3,9,0
2078,2078-09-22,gregorian,21438,21438,119,2,19,2
2078,2078-09-22,leap_intercalary,21438,21423,104,13,4,3
2078,2078-09-22,leap_double,21438,21453,134,4,14,1
2079,2079-09-22,gregorian,21803,21803,224,3,4,3
2079,2079-09-22,leap_intercalary,21803,21788,209,1,9,0
2079,2079-09-22,leap_double,21803,21818,239,5,19,2
2080,2080-09-22,gregorian,22169,22169,70,5,10,1
2080,2080-09-22,leap_intercalary,22169,22153,54,2,14,1
2080,2080-09-22,leap_double,22169,22185,86,8,6,1
2081,2081-09-22,gregorian,22534,22534,175,6,15,2
2081,2081-09-22,leap_intercalary,22534,22518,159,3,19,2
2081,2081-09-22,leap_double,22534,22550,191,9,11,2
2082,2082-09-22,gregorian,22899,22899,20,7,20,3
2082,2082-09-22,leap_intercalary,22899,22883,4,4,4,3
2082,2082-09-22,leap_double,22899,22915,36,10,16,3
2083,2083-09-22,gregorian,23264,23264,125,8,5,0
2083,2083-09-22,leap_intercalary,23264,23248,109,5,9,0
2083,2083-09-22,leap_double,23264,23280,141,11,1,0
2084,2084-09-22,gregorian,23630,23630,231,10,11,2
2084,2084-09-22,leap_intercalary,23630,23613,214,6,14,1
2084,2084-09-22,leap_double,23630,23647,248,1,8,3
2085,2085-09-22,gregorian,23995,23995,76,11,16,3
2085,2085-09-22,leap_intercalary,23995,23978,59,7,19,2
2085,2085-09-22,leap_double,23995,24012,93,2,13,0
2086,2086-09-22,gregorian,24360,24360,181,12,1,0
2086,2086-09-22,leap_intercalary,24360,24343,164,8,4,3
2086,2086-09-22,leap_double,24360,24377,198,3,18,1
2087,2087-09-22,gregorian,24725,24725,26,13,6,1
2087,2087-09-22,leap_intercalary,24725,24708,9,9,9,0
2087,2087-09-22,leap_double,24725,24742,43,4,3,2
2088,2088-09-22,gregorian,25091,25091,132,2,12,3
2088,2088-09-22,leap_intercalary,25091,25073,114,10,14,1
2088,2088-09-22,leap_double,25091,25109,150,7,10,1
2089,2089-09-22,gregorian,25456,25456,237,3,17,0
2089,2089-09-22,leap_intercalary,25456,25438,219,11,19,2
2089,2089-09-22,leap_double,25456,25474,255,8,15,2
2090,2090-09-22,gregorian,25821,25821,82,4,2,1
2090,2090-09-22,leap_intercalary,25821,25803,64,12,4,3
2090,2090-09-22,leap_double,25821,25839,100,9,20,3
2091,2091-09-22,gregorian,26186,26186,187,5,7,2
2091,2091-09-22,leap_intercalary,26186,26168,169,13,9,0
2091,2091-09-22,leap_double,26186,26204,205,10,5,0
2092,2092-09-22,gregorian,26552,26552,33,7,13,0
2092,2092-09-22,leap_intercalary,26552,26533,14,1,14,1
2092,2092-09-22,leap_double,26552,26571,52,13,12,3
2093,2093-09-22,gregorian,26917,26917,138,8,18,1
2093,2093-09-22,leap_intercalary,26917,26898,119,2,19,2
2093,2093-09-22,leap_double,26917,26936,157,1,17,0
