year,date,mode,delta_days,effective_delta,kin,tone,sign,sign_row_color_group
2020,2020-03-21,gregorian,69,69,70,5,10,1
2020,2020-03-21,leap_intercalary,69,68,69,4,9,0
2020,2020-03-21,leap_double,69,70,71,6,11,2
2021,2021-03-21,gregorian,434,434,175,6,15,2
2021,2021-03-21,leap_intercalary,434,433,174,5,14,1
2021,2021-03-21,leap_double,434,435,176,7,16,3
2022,2022-03-21,gregorian,799,799,20,7,20,3
2022,2022-03-21,leap_intercalary,799,798,19,6,19,2
2022,2022-03-21,leap_double,799,800,21,8,1,0
2023,2023-03-21,gregorian,1164,1164,125,8,5,0
2023,2023-03-21,leap_intercalary,1164,1163,124,7,4,3
2023,2023-03-21,leap_double,1164,1165,126,9,6,1
2024,2024-03-21,gregorian,1530,1530,231,10,11,2
2024,2024-03-21,leap_intercalary,1530,1528,229,8,9,0
2024,2024-03-21,leap_double,1530,1532,233,12,13,0
2025,2025-03-21,gregorian,1895,1895,76,11,16,3
2025,2025-03-21,leap_intercalary,1895,1893,74,9,14,1
2025,2025-03-21,leap_double,1895,1897,78,13,18,1
2026,2026-03-21,gregorian,2260,2260,181,12,1,0
2026,2026-03-21,leap_intercalary,2260,2258,179,10,19,2
2026,2026-03-21,leap_double,2260,2262,183,1,3,2
2027,2027-03-21,gregorian,2625,2625,26,13,6,1
2027,2027-03-21,leap_intercalary,2625,2623,24,11,4,3
2027,2027-03-21,leap_double,2625,2627,28,2,8,3
2028,2028-03-21,gregorian,2991,2991,132,2,12,3
2028,2028-03-21,leap_intercalary,2991,2988,129,12,9,0
2028,2028-03-21,leap_double,2991,2994,135,5,15,2
2029,2029-03-21,gregorian,3356,3356,237,3,17,0
2029,2029-03-21,leap_intercalary,3356,3353,234,13,14,1
2029,2029-03-21,leap_double,3356,3359,240,6,20,3
2030,2030-03-21,gregorian,3721,3721,82,4,2,1
2030,2030-03-21,leap_intercalary,3721,3718,79,1,19,2
2030,2030-03-21,leap_double,3721,3724,85,7,5,0
2031,2031-03-21,gregorian,4086,4086,187,5,7,2
2031,2031-03-21,leap_intercalary,4086,4083,184,2,4,3
2031,2031-03-21,leap_double,4086,4089,190,8,10,1
2032,2032-03-21,gregorian,4452,4452,33,7,13,0
2032,2032-03-21,leap_intercalary,4452,4448,29,3,9,0
2032,2032-03-21,leap_double,4452,4456,37,11,17,0
2033,2033-03-21,gregorian,4817,4817,138,8,18,1
2033,2033-03-21,leap_intercalary,4817,4813,134,4,14,1
2033,2033-03-21,leap_double,4817,4821,142,12,2,1
2034,2034-03-21,gregorian,5182,5182,243,9,3,2
2034,2034-03-21,leap_intercalary,5182,5178,239,5,19,2
2034,2034-03-21,leap_double,5182,5186,247,13,7,2
2035,2035-03-21,gregorian,5547,5547,88,10,8,3
2035,2035-03-21,leap_intercalary,5547,5543,84,6,4,3
2035,2035-03-21,leap_double,5547,5551,92,1,12,3
2036,2036-03-21,gregorian,5913,5913,194,12,14,1
2036,2036-03-21,leap_intercalary,5913,5908,189,7,9,0
2036,2036-03-21,leap_double,5913,5918,199,4,19,2
2037,2037-03-21,gregorian,6278,6278,39,13,19,2
2037,2037-03-21,leap_intercalary,6278,6273,34,8,14,1
2037,2037-03-21,leap_double,6278,6283,44,5,4,3
2038,2038-03-21,gregorian,6643,6643,144,1,4,3
2038,2038-03-21,leap_intercalary,6643,6638,139,9,19,2
2038,2038-03-21,leap_double,6643,6648,149,6,9,0
2039,2039-03-21,gregorian,7008,7008,249,2,9,0
2039,2039-03-21,leap_intercalary,7008,7003,244,10,4,3
2039,2039-03-21,leap_double,7008,7013,254,7,14,1
2040,2040-03-21,gregorian,7374,7374,95,4,15,2
2040,2040-03-21,leap_intercalary,7374,7368,89,11,9,0
2040,2040-03-21,leap_double,7374,7380,101,10,1,0
2041,2041-03-21,gregorian,7739,7739,200,5,20,3
2041,2041-03-21,leap_intercalary,7739,7733,194,12,14,1
2041,2041-03-21,leap_double,7739,7745,206,11,6,1
2042,2042-03-21,gregorian,8104,8104,45,6,5,0
2042,2042-03-21,leap_intercalary,8104,8098,39,13,19,2
2042,2042-03-21,leap_double,8104,8110,51,12,11,2
2043,2043-03-21,gregorian,8469,8469,150,7,10,1
2043,2043-03-21,leap_intercalary,8469,8463,144,1,4,3
2043,2043-03-21,leap_double,8469,8475,156,13,16,3
2044,2044-03-21,gregorian,8835,8835,256,9,16,3
2044,2044-03-21,leap_intercalary,8835,8828,249,2,9,0
2044,2044-03-21,leap_double,8835,8842,3,3,3,2
2045,2045-03-21,gregorian,9200,9200,101,10,1,0
2045,2045-03-21,leap_intercalary,9200,9193,94,3,14,1
2045,2045-03-21,leap_double,9200,9207,108,4,8,3
2046,2046-03-21,gregorian,9565,9565,206,11,6,1
2046,2046-03-21,leap_intercalary,9565,9558,199,4,19,2
2046,2046-03-21,leap_double,9565,9572,213,5,13,0
2047,2047-03-21,gregorian,9930,9930,51,12,11,2
2047,2047-03-21,leap_intercalary,9930,9923,44,5,4,3
2047,2047-03-21,leap_double,9930,9937,58,6,18,1
2048,2048-03-21,gregorian,10296,10296,157,1,17,0
2048,2048-03-21,leap_intercalary,10296,10288,149,6,9,0
2048,2048-03-21,leap_double,10296,10304,165,9,5,0
2049,2049-03-21,gregorian,10661,10661,2,2,2,1
2049,2049-03-21,leap_intercalary,10661,10653,254,7,14,1
2049,2049-03-21,leap_double,10661,10669,10,10,10,1
2050,2050-03-21,gregorian,11026,11026,107,3,7,2
2050,2050-03-21,leap_intercalary,11026,11018,99,8,19,2
2050,2050-03-21,leap_double,11026,11034,115,11,15,2
2051,2051-03-21,gregorian,11391,11391,212,4,12,3
2051,2051-03-21,leap_intercalary,11391,11383,204,9,4,3
2051,2051-03-21,leap_double,11391,11399,220,12,20,3
2052,2052-03-21,gregorian,11757,11757,58,6,18,1
2052,2052-03-21,leap_intercalary,11757,11748,49,10,9,0
2052,2052-03-21,leap_double,11757,11766,67,2,7,2
2053,2053-03-21,gregorian,12122,12122,163,7,3,2
2053,2053-03-21,leap_intercalary,12122,12113,154,11,14,1
2053,2053-03-21,leap_double,12122,12131,172,3,12,3
2054,2054-03-21,gregorian,12487,12487,8,8,8,3
2054,2054-03-21,leap_intercalary,12487,12478,259,12,19,2
2054,2054-03-21,leap_double,12487,12496,17,4,17,0
2055,2055-03-21,gregorian,12852,12852,113,9,13,0
2055,2055-03-21,leap_intercalary,12852,12843,104,13,4,3
2055,2055-03-21,leap_double,12852,12861,122,5,2,1
2056,2056-03-21,gregorian,13218,13218,219,11,19,2
2056,2056-03-21,leap_intercalary,13218,13208,209,1,9,0
2056,2056-03-21,leap_double,13218,13228,229,8,9,0
2057,2057-03-21,gregorian,13583,13583,64,12,4,3
2057,2057-03-21,leap_intercalary,13583,13573,54,2,14,1
2057,2057-03-21,leap_double,13583,13593,74,9,14,1
2058,2058-03-21,gregorian,13948,13948,169,13,9,0
2058,2058-03-21,leap_intercalary,13948,13938,159,3,19,2
2058,2058-03-21,leap_double,13948,13958,179,10,19,2
2059,2059-03-21,gregorian,14313,14313,14,1,14,1
2059,2059-03-21,leap_intercalary,14313,14303,4,4,4,3
2059,2059-03-21,leap_double,14313,14323,24,11,4,3
2060,2060-03-21,gregorian,14679,14679,120,3,20,3
2060,2060-03-21,leap_intercalary,14679,14668,109,5,9,0
2060,2060-03-21,leap_double,14679,14690,131,1,11,2
2061,2061-03-21,gregorian,15044,15044,225,4,5,0
2061,2061-03-21,leap_intercalary,15044,15033,214,6,14,1
2061,2061-03-21,leap_double,15044,15055,236,2,16,3
2062,2062-03-21,gregorian,15409,15409,70,5,10,1
2062,2062-03-21,leap_intercalary,15409,15398,59,7,19,2
2062,2062-03-21,leap_double,15409,15420,81,3,1,0
2063,2063-03-21,gregorian,15774,15774,175,6,15,2
2063,2063-03-21,leap_intercalary,15774,15763,164,8,4,3
2063,2063-03-21,leap_double,15774,15785,186,4,6,1
2064,2064-03-21,gregorian,16140,16140,21,8,1,0
2064,2064-03-21,leap_intercalary,16140,16128,9,9,9,0
2064,2064-03-21,leap_double,16140,16152,33,7,13,0
2065,2065-03-21,gregorian,16505,16505,126,9,6,1
2065,2065-03-21,leap_intercalary,16505,16493,114,10,14,1
2065,2065-03-21,leap_double,16505,16517,138,8,18,1
2066,2066-03-21,gregorian,16870,16870,231,10,11,2
