612,508,600,184,596,76,616,49,595,103,597,265,603
450,502,438,178,434,70,448,43,433,97,435,259,441
396,500,384,176,380,68,392,41,379,95,381,257,387
369,499,357,175,353,67,364,40,352,94,354,256,360
342,498,330,174,326,66,336,39,325,93,327,255,333
288,496,276,172,272,64,280,37,271,91,273,253,279
315,497,303,173,299,65,308,38,298,92,300,254,306
423,501,411,177,407,69,420,42,406,96,408,258,414
126,490,114,166,110,58,112,31,109,85,111,247,117
153,491,141,167,137,59,140,32,136,86,138,248,144
207,493,195,169,191,61,196,34,190,88,192,250,198
234,494,222,170,218,62,224,35,217,89,219,251,225
585,507,573,183,569,75,588,48,568,102,570,264,576
531,505,519,181,515,73,532,46,514,100,516,262,522
558,506,546,182,542,74,560,47,541,101,543,263,549
666,510,654,186,650,78,672,51,649,105,651,267,657
720,512,708,188,704,80,728,53,703,107,705,269,711
693,511,681,187,677,79,700,52,676,106,678,268,684
639,509,627,185,623,77,644,50,622,104,624,266,630
477,503,465,179,461,71,476,44,460,98,462,260,468
,,,,,,,,,,,,
211200,200211,211020,020211,211002,002211,211211,001211,211001,010211,211010,100211,211100
121200,200121,121020,020121,121002,002121,121121,001121,121001,010121,121010,100121,121100
112200,200112,112020,020112,112002,002112,112112,001112,112001,010112,112010,100112,112100
111200,200111,111020,020111,111002,002111,111111,001111,111001,010111,111010,100111,111100
110200,200110,110020,020110,110002,002110,110110,001110,110001,010110,110010,100110,110100
101200,200101,101020,020101,101002,002101,101101,001101,101001,010101,101010,100101,101100
102200,200102,102020,020102,102002,002102,102102,001102,102001,010102,102010,100102,102100
120200,200120,120020,020120,120002,002120,120120,001120,120001,010120,120010,100120,120100
011200,200011,011020,020011,011002,002011,011011,001011,011001,010011,011010,100011,011100
012200,200012,012020,020012,012002,002012,012012,001012,012001,010012,012010,100012,012100
021200,200021,021020,020021,021002,002021,021021,001021,021001,010021,021010,100021,021100
022200,200022,022020,020022,022002,002022,022022,001022,022001,010022,022010,100022,022100
210200,200210,210020,020210,210002,002210,210210,001210,210001,010210,210010,100210,210100
201200,200201,201020,020201,201002,002201,201201,001201,201001,010201,201010,100201,201100
202200,200202,202020,020202,202002,002202,202202,001202,202001,010202,202010,100202,202100
220200,200220,220020,020220,220002,002220,220220,001220,220001,010220,220010,100220,220100
222200,200222,222020,020222,222002,002222,222222,001222,222001,010222,222010,100222,222100
221200,200221,221020,020221,221002,002221,221221,001221,221001,010221,221010,100221,221100
212200,200212,212020,020212,212002,002212,212212,001212,212001,010212,212010,100212,212100
122200,200122,122020,020122,122002,002122,122122,001122,122001,010122,122010,100122,122100
