year,date,mode,delta_days,effective_delta,kin,tone,sign,sign_row_color_group
2020,2020-03-20,gregorian,68,68,69,4,9,0
2020,2020-03-20,leap_intercalary,68,67,68,3,8,3
2020,2020-03-20,leap_double,68,69,70,5,10,1
2021,2021-03-20,gregorian,433,433,174,5,14,1
2021,2021-03-20,leap_intercalary,433,432,173,4,13,0
2021,2021-03-20,leap_double,433,434,175,6,15,2
2022,2022-03-20,gregorian,798,798,19,6,19,2
2022,2022-03-20,leap_intercalary,798,797,18,5,18,1
2022,2022-03-20,leap_double,798,799,20,7,20,3
2023,2023-03-20,gregorian,1163,1163,124,7,4,3
2023,2023-03-20,leap_intercalary,1163,1162,123,6,3,2
2023,2023-03-20,leap_double,1163,1164,125,8,5,0
2024,2024-03-20,gregorian,1529,1529,230,9,10,1
2024,2024-03-20,leap_intercalary,1529,1527,228,7,8,3
2024,2024-03-20,leap_double,1529,1531,232,11,12,3
2025,2025-03-20,gregorian,1894,1894,75,10,15,2
2025,2025-03-20,leap_intercalary,1894,1892,73,8,13,0
2025,2025-03-20,leap_double,1894,1896,77,12,17,0
2026,2026-03-20,gregorian,2259,2259,180,11,20,3
2026,2026-03-20,leap_intercalary,2259,2257,178,9,18,1
2026,2026-03-20,leap_double,2259,2261,182,13,2,1
2027,2027-03-20,gregorian,2624,2624,25,12,5,0
2027,2027-03-20,leap_intercalary,2624,2622,23,10,3,2
2027,2027-03-20,leap_double,2624,2626,27,1,7,2
2028,2028-03-20,gregorian,2990,2990,131,1,11,2
2028,2028-03-20,leap_intercalary,2990,2987,128,11,8,3
2028,2028-03-20,leap_double,2990,2993,134,4,14,1
2029,2029-03-20,gregorian,3355,3355,236,2,16,3
2029,2029-03-20,leap_intercalary,3355,3352,233,12,13,0
2029,2029-03-20,leap_double,3355,3358,239,5,19,2
2030,2030-03-20,gregorian,3720,3720,81,3,1,0
2030,2030-03-20,leap_intercalary,3720,3717,78,13,18,1
2030,2030-03-20,leap_double,3720,3723,84,6,4,3
2031,2031-03-20,gregorian,4085,4085,186,4,6,1
2031,2031-03-20,leap_intercalary,4085,4082,183,1,3,2
2031,2031-03-20,leap_double,4085,4088,189,7,9,0
2032,2032-03-20,gregorian,4451,4451,32,6,12,3
2032,2032-03-20,leap_intercalary,4451,4447,28,2,8,3
2032,2032-03-20,leap_double,4451,4455,36,10,16,3
2033,2033-03-20,gregorian,4816,4816,137,7,17,0
2033,2033-03-20,leap_intercalary,4816,4812,133,3,13,0
2033,2033-03-20,leap_double,4816,4820,141,11,1,0
2034,2034-03-20,gregorian,5181,5181,242,8,2,1
2034,2034-03-20,leap_intercalary,5181,5177,238,4,18,1
2034,2034-03-20,leap_double,5181,5185,246,12,6,1
2035,2035-03-20,gregorian,5546,5546,87,9,7,2
2035,2035-03-20,leap_intercalary,5546,5542,83,5,3,2
2035,2035-03-20,leap_double,5546,5550,91,13,11,2
2036,2036-03-20,gregorian,5912,5912,193,11,13,0
2036,2036-03-20,leap_intercalary,5912,5907,188,6,8,3
2036,2036-03-20,leap_double,5912,5917,198,3,18,1
